episode,reward,epsilon,avg_loss
1,11.034210526315789,0.99,0.0
2,10.00921052631579,0.9801,0.45857120752334596
3,10.346710526315789,0.9702989999999999,0.46307492554187774
4,10.346710526315793,0.96059601,0.2224965590983629
5,9.871710526315791,0.9509900498999999,0.3231125045567751
6,9.921710526315787,0.9414801494009999,0.6919824182987213
7,9.834210526315788,0.9320653479069899,0.3480212425813079
8,10.521710526315788,0.92274469442792,0.32482896037399767
9,9.984210526315788,0.9135172474836407,0.23403067253530024
10,10.384210526315789,0.9043820750088043,0.2744551142677665
11,10.70921052631579,0.8953382542587163,0.7032368659973145
12,9.821710526315789,0.8863848717161291,0.3093415979295969
13,9.984210526315788,0.8775210229989678,0.25873084254562856
14,10.484210526315788,0.8687458127689781,0.2397751308977604
15,10.22171052631579,0.8600583546412883,0.21269871063996107
16,10.521710526315788,0.8514577710948754,0.5938083678483963
17,10.596710526315789,0.8429431933839266,0.40601547583937647
18,11.021710526315786,0.8345137614500874,0.5469553275033832
19,11.046710526315788,0.8261686238355865,0.37200768776237964
20,10.44671052631579,0.8179069375972307,0.3298333420418203
21,11.09671052631579,0.8097278682212583,0.7006989851593971
22,10.78421052631579,0.8016305895390458,0.5353775255382061
23,10.846710526315789,0.7936142836436553,0.5133073750883341
24,10.73421052631579,0.7856781408072188,0.5234201030805707
25,10.434210526315791,0.7778213593991465,0.49905123356729747
26,10.846710526315787,0.7700431458051551,0.9377156242728233
27,10.52171052631579,0.7623427143471035,0.649526010081172
28,10.521710526315788,0.7547192872036325,0.6368132375180722
29,10.984210526315788,0.7471720943315961,0.6669412843883038
30,10.92171052631579,0.7397003733882802,0.559586300700903
31,10.359210526315788,0.7323033696543974,0.9427201710641384
32,9.534210526315789,0.7249803359578534,1.1648602284491063
33,11.009210526315789,0.7177305325982748,1.047550455480814
34,10.54671052631579,0.7105532272722921,0.8272920159623027
35,10.58421052631579,0.7034476949995692,1.0723955284804105
36,10.609210526315788,0.6964132180495735,1.550175389647484
37,9.984210526315787,0.6894490858690777,1.156057095527649
38,10.04671052631579,0.682554595010387,1.2937951790168882
39,10.621710526315791,0.6757290490602831,0.9866835381835699
40,10.64671052631579,0.6689717585696803,1.1382821649312973
41,10.146710526315788,0.6622820409839835,1.8118869349360467
42,9.95921052631579,0.6556592205741436,1.981386587023735
43,10.07171052631579,0.6491026283684022,1.8353433296084405
44,9.884210526315787,0.6426116020847181,1.587097941339016
45,10.471710526315789,0.6361854860638709,1.9357840970158577
46,10.546710526315792,0.6298236312032323,2.3559190779924393
47,10.08421052631579,0.6235253948912,2.288998521864414
48,9.63421052631579,0.617290140942288,1.9339668571949005
49,10.896710526315792,0.6111172395328651,1.7281564503908158
50,9.64671052631579,0.6050060671375365,2.1350373148918154
51,11.134210526315789,0.5989560064661611,2.9390474528074266
52,10.384210526315789,0.5929664464014994,2.9292075872421264
53,10.67171052631579,0.5870367819374844,1.9704058736562728
54,9.69671052631579,0.5811664141181095,2.3046745330095293
55,10.69671052631579,0.5753547499769285,2.115170083940029
56,10.421710526315788,0.5696012024771592,3.7059001684188844
57,10.52171052631579,0.5639051904523876,2.61229028403759
58,10.384210526315789,0.5582661385478638,2.9476551957428456
59,10.40921052631579,0.5526834771623851,3.0286619927734137
60,10.284210526315793,0.5471566423907612,3.2332778751850126
61,10.659210526315787,0.5416850759668536,3.3883450239896775
62,9.746710526315788,0.536268225207185,3.3241273283958437
63,9.784210526315789,0.5309055429551132,2.9723921179771424
64,10.696710526315787,0.525596487525562,3.109519299864769
65,10.384210526315789,0.5203405226503064,3.600226229429245
66,9.971710526315793,0.5151371174238033,7.164780551195145
67,9.65921052631579,0.5099857462495653,5.7178817927837375
68,9.75921052631579,0.5048858887870696,5.974166887998581
69,9.63421052631579,0.4998370298991989,4.696030014753342
70,10.109210526315792,0.49483865960020695,4.942785583436489
71,10.47171052631579,0.4898902730042049,5.970156753063202
72,10.47171052631579,0.48499137027416284,4.314045989513398
73,10.584210526315792,0.4801414565714212,5.802832221984863
74,10.371710526315788,0.475340042005707,5.243618802726269
75,10.48421052631579,0.47058664158564995,5.541534835100174
76,9.571710526315787,0.4658807751697934,4.782733471691609
77,10.759210526315787,0.4612219674180955,6.2611875355243685
78,10.98421052631579,0.45660974774391455,6.303366032242775
79,11.07171052631579,0.4520436502664754,6.380306309461593
80,9.784210526315789,0.44752321376381066,6.849062865972519
81,9.55921052631579,0.44304798162617254,6.417069798707962
82,10.159210526315789,0.4386175018099108,6.032636260986328
83,10.43421052631579,0.4342313267918117,7.7753169447183605
84,9.809210526315788,0.4298890135238936,5.9180743277072905
85,10.771710526315788,0.42559012338865465,8.924058890342712
86,9.434210526315788,0.4213342221547681,5.858979710936547
87,9.83421052631579,0.41712087993322045,7.398637002706527
88,11.12171052631579,0.41294967113388825,10.24104791879654
