method,infection,connectivity,removed_edges,seed
Random,0.5525,0.868421052631579,20,1017
Degree Centrality,0.275,0.868421052631579,20,1017
Betweenness Centrality,0.475,0.868421052631579,20,1017
Threshold,0.225,0.868421052631579,20,1017
Top-K,0.475,0.8552631578947368,22,1017
Dynamic RL,0.5,0.868421052631579,20,1017
No Pruning,0.325,1.0,0,1018
Random,0.505,0.868421052631579,20,1018
Degree Centrality,0.425,0.868421052631579,20,1018
Betweenness Centrality,0.65,0.868421052631579,20,1018
Threshold,0.55,0.868421052631579,20,1018
Top-K,0.525,0.8618421052631579,21,1018
Dynamic RL,0.5,0.868421052631579,20,1018
No Pruning,0.45,1.0,0,1019
Random,0.5525,0.868421052631579,20,1019
Degree Centrality,0.4,0.868421052631579,20,1019
Betweenness Centrality,0.6,0.868421052631579,20,1019
Threshold,0.55,0.868421052631579,20,1019
Top-K,0.575,0.875,19,1019
Dynamic RL,0.7,0.868421052631579,20,1019
No Pruning,0.35,1.0,0,1020
Random,0.5925,0.868421052631579,20,1020
Degree Centrality,0.625,0.868421052631579,20,1020
Betweenness Centrality,0.45,0.868421052631579,20,1020
Threshold,0.7,0.868421052631579,20,1020
Top-K,0.625,0.868421052631579,20,1020
Dynamic RL,0.525,0.868421052631579,20,1020
No Pruning,0.6,1.0,0,1021
Random,0.505,0.868421052631579,20,1021
Degree Centrality,0.725,0.868421052631579,20,1021
Betweenness Centrality,0.15,0.868421052631579,20,1021
Threshold,0.675,0.868421052631579,20,1021
Top-K,0.725,0.8552631578947368,22,1021
Dynamic RL,0.425,0.868421052631579,20,1021
No Pruning,0.625,1.0,0,1022
Random,0.6224999999999999,0.868421052631579,20,1022
Degree Centrality,0.65,0.868421052631579,20,1022
Betweenness Centrality,0.475,0.868421052631579,20,1022
Threshold,0.425,0.868421052631579,20,1022
Top-K,0.725,0.8618421052631579,21,1022
Dynamic RL,0.5,0.868421052631579,20,1022
No Pruning,0.65,1.0,0,1023
Random,0.4525,0.868421052631579,20,1023
Degree Centrality,0.45,0.868421052631579,20,1023
Betweenness Centrality,0.525,0.868421052631579,20,1023
Threshold,0.4,0.868421052631579,20,1023
Top-K,0.3,0.875,19,1023
Dynamic RL,0.6,0.868421052631579,20,1023
No Pruning,0.7,1.0,0,1024
Random,0.6,0.868421052631579,20,1024
Degree Centrality,0.625,0.868421052631579,20,1024
Betweenness Centrality,0.625,0.868421052631579,20,1024
Threshold,0.425,0.868421052631579,20,1024
Top-K,0.3,0.875,19,1024
Dynamic RL,0.65,0.868421052631579,20,1024
No Pruning,0.3,1.0,0,1025
Random,0.525,0.868421052631579,20,1025
Degree Centrality,0.25,0.868421052631579,20,1025
Betweenness Centrality,0.575,0.868421052631579,20,1025
