method,n_graphs,mean_paired_diff_vs_random,std_paired_diff_vs_random,t_test_statistic,t_test_pvalue,wilcoxon_statistic,wilcoxon_pvalue,shapiro_normality_pvalue
No Pruning,40,0.06981250000000001,0.1587101327893087,2.782009003087126,0.008281386384298385,221.5,0.011284264906831862,0.8484810511424201
Threshold,40,-0.015812499999999986,0.16027359170717412,-0.6239769754804118,0.5362757131924146,360.5,0.5057775007095215,0.7805400872976278
Top-K,40,-0.04018749999999998,0.18488335503216272,-1.374748240001474,0.17705718782502958,340.5,0.35019980229123804,0.0765069317839554
Degree Centrality,40,-0.0508125,0.1684234851573975,-1.908085840370086,0.06376159044237649,265.5,0.08231334794787509,0.12329164732449976
Betweenness Centrality,40,-0.014562499999999989,0.147941957931706,-0.6225504795260344,0.5372032679963958,374.0,0.8233091575065659,0.38655964369461016
Dynamic RL,40,-0.06393749999999998,0.14842537568568218,-2.7244415176712904,0.009590236915055662,233.0,0.017344396700011335,0.2312620499003198
