method,infection_mean,infection_std,connectivity_mean,connectivity_std,removed_edges_mean,n_graphs
No Pruning,0.61875,0.15018684943625976,1.0,0.0,0.0,40
Threshold,0.533125,0.1567281146542538,0.868421052631579,0.0,20.0,40
Top-K,0.50875,0.17279285805516323,0.8631578947368421,0.009678216475094372,20.8,40
Random,0.5489375,0.07679870353973829,0.868421052631579,0.0,20.0,40
Degree Centrality,0.49812500000000004,0.16314099415646263,0.868421052631579,0.0,20.0,40
Betweenness Centrality,0.534375,0.1480306079749587,0.868421052631579,0.0,20.0,40
Dynamic RL,0.485,0.1486908684451549,0.868421052631579,0.0,20.0,40
